video_id,published_at,title,url,language_guess,lyric_likeness_score,is_lyric_like,line_count,avg_line_len,series_guess,character_guess,song_title_guess,profile_tags,description_hash
oJhf0gSC_bg,2026-05-22T14:33:32Z,[Run Sarura Run!] 체니 - '태양빠이클럽 (Sun Bye Club)' [KO],https://www.youtube.com/watch?v=oJhf0gSC_bg,KR,39.6,yes,14,49.57,Run Sarura Run!,체니,태양빠이클럽 (Sun Bye Club),summer_heat | winter_christmas | run_dance_motion | self_denial_rationalization | cute_comedy,df86520db0aa
UtawCyxzIIY,2026-05-20T12:32:47Z,[Run Sarura Run!] 네르 - '장미폭풍경보(ROSE STORM ALERT) ' [KO],https://www.youtube.com/watch?v=UtawCyxzIIY,KR,66.0,yes,40,12.55,Run Sarura Run!,네르,장미폭풍경보(ROSE STORM ALERT) ,summer_heat | winter_christmas | rain_city | self_denial_rationalization | cute_comedy,025fb02a3ceb
hKmiYHnwWJk,2026-05-19T15:45:42Z,[Derville Pen is dead!] 우나 - '울던 그 날에도 그 자리에서' [KO],https://www.youtube.com/watch?v=hKmiYHnwWJk,KR,62.0,yes,32,12.44,Derville Pen is dead!,우나,울던 그 날에도 그 자리에서,summer_heat | tender_comfort | dark_cool,b662a26c0396
EF100FNj-YM,2026-05-18T16:28:11Z,"[Derville P.I.D.] 봉남이가 찢었다! ""Gracepool Party Crusher"" 인스트 15초 🌡️🤧 #박봉남 #TeamLemot #레못맛소녀곰 #여름노래",https://www.youtube.com/watch?v=EF100FNj-YM,KR,32.1,no_or_needs_manual_review,15,35.53,Derville P.I.D.,봉남이가 찢었다! 인스트 15초 🌡️🤧 #박봉남 #TeamLemot #레못맛소녀곰 #여름노래,Gracepool Party Crusher,summer_heat | rain_city | tender_comfort | idol_pop_hook,60eb28ac4fef
DC8fP6La-fQ,2026-05-18T14:04:10Z,[Derville Pen is dead!] 박봉남 - 'Gracepool Party Crusher' [KO],https://www.youtube.com/watch?v=DC8fP6La-fQ,KR,66.0,yes,40,14.18,Derville Pen is dead!,박봉남,Gracepool Party Crusher,winter_christmas | cute_comedy | tender_comfort | dark_cool | idol_pop_hook,cdb54b237b5c
U3038z4h9JI,2026-05-17T12:20:54Z,[Run Sarura Run!] 벨로나 - 'Threshold' [KO],https://www.youtube.com/watch?v=U3038z4h9JI,KR,70.0,yes,54,5.57,Run Sarura Run!,벨로나,Threshold,summer_heat | rain_city | self_denial_rationalization | tender_comfort,f8733c34fb3e
QUsr7Cr3gSQ,2026-05-17T09:17:19Z,"[Derville P.I.D.] 마르티나와 봉남이의 ""여름 감기는 개도 안 걸린다던데!"" 15초 🌡️🤧 #마르티나 #박봉남 #TeamLemot #레못맛소녀곰 #여름노래 #미리듣기",https://www.youtube.com/watch?v=QUsr7Cr3gSQ,KR,30.0,no_or_needs_manual_review,14,42.79,Derville P.I.D.,마르티나 | 봉남이의 15초 🌡️🤧 #마르티나 #박봉남 #TeamLemot #레못맛소녀곰 #여름노래 #미리듣기,여름 감기는 개도 안 걸린다던데!,summer_heat | rain_city | self_denial_rationalization | tender_comfort | dark_cool,5bf1cd50595c
fDl14HCFv5s,2026-05-17T05:22:46Z,[Run Sarura Run!] 에이미 - '양산을 두고 왔단 말이야' [KO],https://www.youtube.com/watch?v=fDl14HCFv5s,KR,62.7,yes,58,17.47,Run Sarura Run!,에이미,양산을 두고 왔단 말이야,summer_heat | rain_city | self_denial_rationalization | cute_comedy | dark_cool,ce18c24242f3
-bBOKmshfLk,2026-05-16T15:37:10Z,[Derville Pen is dead!] 월콧 - '짐승합격!' [KO],https://www.youtube.com/watch?v=-bBOKmshfLk,KR,65.6,yes,64,14.66,Derville Pen is dead!,월콧,짐승합격!,winter_christmas | self_denial_rationalization | cute_comedy | heroic_fantasy | tender_comfort,92d7efdb6e82
eDmqQ87K7a8,2026-05-16T11:46:37Z,[Derville Pen is dead!] 박봉남 - '아이스크림이 녹는 동안' [KO],https://www.youtube.com/watch?v=eDmqQ87K7a8,KR,60.0,yes,56,11.86,Derville Pen is dead!,박봉남,아이스크림이 녹는 동안,summer_heat | winter_christmas | rain_city | run_dance_motion | self_denial_rationalization,f019df092cf5
BKn-rZwQhKY,2026-05-14T15:27:15Z,[Run Sarura Run!] 샐리 - '대체 당..당신 정말?♥️' [KO],https://www.youtube.com/watch?v=BKn-rZwQhKY,KR,58.1,yes,59,12.73,Run Sarura Run!,샐리,대체 당..당신 정말?♥️,self_denial_rationalization | cute_comedy | heroic_fantasy | idol_pop_hook,b41846d0b5c5
wobg0UXDmNk,2026-05-13T18:08:45Z,"[Run Sarura Run!] 루크 - 'Morning, OK!' [KO]",https://www.youtube.com/watch?v=wobg0UXDmNk,KR,66.9,yes,52,11.13,Run Sarura Run!,루크,"Morning, OK!",winter_christmas | rain_city | self_denial_rationalization | tender_comfort,c23913b7166f
-G9S8hjUDYc,2026-05-12T16:59:59Z,"[Derville Pen is dead!] 젠슨 - '너는 지구, 나는 달' [KO]",https://www.youtube.com/watch?v=-G9S8hjUDYc,KR,70.0,yes,64,8.55,Derville Pen is dead!,젠슨,"너는 지구, 나는 달",winter_christmas | rain_city | self_denial_rationalization | tender_comfort | idol_pop_hook,bfe9285663e2
K9H8ttCL--s,2026-05-12T14:14:20Z,[Run Sarura Run!] 마리 - '칠석의 밤을 달려서' [KO],https://www.youtube.com/watch?v=K9H8ttCL--s,KR,62.5,yes,48,13.19,Run Sarura Run!,마리,칠석의 밤을 달려서,summer_heat | rain_city | run_dance_motion | self_denial_rationalization | heroic_fantasy,568ed09ef0e2
w-KpCFaWks0,2026-05-11T16:55:51Z,[Run Sarura Run!] 네르 - '분명히 열대야 탓' [KO],https://www.youtube.com/watch?v=w-KpCFaWks0,KR,65.6,yes,48,17.81,Run Sarura Run!,네르,분명히 열대야 탓,summer_heat | winter_christmas | rain_city | self_denial_rationalization | cute_comedy,9c2c6f180f37
WZB28kxzZ78,2026-05-10T18:47:42Z,[Derville Pen is dead!] Welling - 'Pour It Down' [EN],https://www.youtube.com/watch?v=WZB28kxzZ78,EN,65.1,yes,71,30.97,Derville Pen is dead!,Welling,Pour It Down,labor_work,00d1aa0dbe75
Da4P81qk104,2026-05-10T16:16:34Z,[Derville Pen is dead!] Mitchell - 'Oh.. you're here too?' [EN],https://www.youtube.com/watch?v=Da4P81qk104,EN,63.3,yes,36,23.25,Derville Pen is dead!,Mitchell,Oh.. you,labor_work,ded8cde32f73
jRAcC78QWvc,2026-05-10T12:01:21Z,[Derville Pen is dead!] 현암 - '남자의 연휴사용사유서' [KO],https://www.youtube.com/watch?v=jRAcC78QWvc,KR,61.5,yes,61,14.39,Derville Pen is dead!,현암,남자의 연휴사용사유서,summer_heat | winter_christmas | self_denial_rationalization | cute_comedy | heroic_fantasy,40c406b6eaf8
7GdpRwDR7Xw,2026-05-10T03:12:30Z,[Derville Pen is dead!] 젠슨 - '별 하나 없는 밤에' [KO],https://www.youtube.com/watch?v=7GdpRwDR7Xw,KR,68.2,yes,106,7.94,Derville Pen is dead!,젠슨,별 하나 없는 밤에,summer_heat | winter_christmas | rain_city | self_denial_rationalization | tender_comfort,a009a8c3626e
4wPL7t40ENM,2026-05-09T16:47:11Z,[Run Sarura Run!] 세리카 - '남색 커튼이 열리는 밤' [KO],https://www.youtube.com/watch?v=4wPL7t40ENM,KR,61.0,yes,30,16.7,Run Sarura Run!,세리카,남색 커튼이 열리는 밤,winter_christmas | rain_city | heroic_fantasy | tender_comfort | dark_cool,62702f81700c
GC_115FlUWE,2026-05-09T11:15:28Z,[ラン・サルラ・ラン] ライザ - 'あと一歩' [JP],https://www.youtube.com/watch?v=GC_115FlUWE,JA,64.9,yes,49,14.63,ラン・サルラ・ラン,ライザ,あと一歩,general_lyric_history,1f240473e661
2yvWIaPI2s4,2026-05-08T19:11:51Z,[Run Sarura Run!] 체니 - '나지나지' [KO],https://www.youtube.com/watch?v=2yvWIaPI2s4,KR,70.0,yes,74,9.73,Run Sarura Run!,체니,나지나지,summer_heat | winter_christmas | rain_city | self_denial_rationalization | cute_comedy,0b440b59b2c5
xI7l2ILVpTA,2026-05-08T13:37:34Z,[Run Sarura Run!] 에이미 - 'Look at me' [KO/EN],https://www.youtube.com/watch?v=xI7l2ILVpTA,EN,67.0,yes,69,15.88,Run Sarura Run! | KO/EN,에이미,Look at me,summer_heat | winter_christmas | rain_city | tender_comfort | dark_cool,af507dc2ce55
ks_DCOnAQ_Q,2026-05-07T17:33:07Z,[Run Sarura Run!] 크래더 - '여름이 또 왔지' [KO],https://www.youtube.com/watch?v=ks_DCOnAQ_Q,KR,69.6,yes,53,11.62,Run Sarura Run!,크래더,여름이 또 왔지,summer_heat | winter_christmas | rain_city | self_denial_rationalization | cute_comedy,fdd7e125fe29
ihWDXz4gMiM,2026-05-07T12:16:13Z,"[ラン・サルラ・ラン] マリー - 'Goodbye, 桜' [JP]",https://www.youtube.com/watch?v=ihWDXz4gMiM,JA,68.9,yes,57,12.07,ラン・サルラ・ラン,マリー,"Goodbye, 桜",run_dance_motion,5174d2798f95
i8y17Lwmwhs,2026-05-06T16:12:00Z,[デルビル P.I.D.] パク・ボンナム - '梅干しのせいだ' [JP],https://www.youtube.com/watch?v=i8y17Lwmwhs,JA,63.2,yes,36,26.5,デルビル P.I.D.,パク・ボンナム,梅干しのせいだ,general_lyric_history,4391380fe1ee
oU56Km2nDBQ,2026-05-05T18:55:44Z,[Derville Pen is dead!] Walcott - '3 Call Outs. 1 Answer.' [EN],https://www.youtube.com/watch?v=oU56Km2nDBQ,EN,44.0,yes,63,43.02,Derville Pen is dead!,Walcott,3 Call Outs. 1 Answer.,general_lyric_history,f9069e49bde6
EpHUj0ZSksI,2026-05-05T13:36:07Z,[Run Sarura Run!] Bellona - 'Still Moving' [EN],https://www.youtube.com/watch?v=EpHUj0ZSksI,EN,63.8,yes,65,28.23,Run Sarura Run!,Bellona,Still Moving,general_lyric_history,9001c4c2b547
F2xIoPb28gA,2026-05-05T07:30:47Z,[Derville Pen is dead!] Sis Tatoo - 'Shall..me? DANCE?!' [EN],https://www.youtube.com/watch?v=F2xIoPb28gA,EN,46.2,yes,39,31.03,Derville Pen is dead!,Sis Tatoo,Shall..me? DANCE?!,general_lyric_history,615b9bf78c06
3MuBFuFhe3A,2026-05-04T13:33:22Z,[Run Sarura Run!] 샐리 - '순장 로맨스' [KO],https://www.youtube.com/watch?v=3MuBFuFhe3A,KR,60.0,yes,21,22.95,Run Sarura Run!,샐리,순장 로맨스,summer_heat | winter_christmas | rain_city | run_dance_motion | self_denial_rationalization,27c6ca4f55c2
_175kG1PQ5E,2026-05-04T06:38:43Z,[Run Sarura Run!] Silva - 'sam is gone' [EN],https://www.youtube.com/watch?v=_175kG1PQ5E,EN,65.7,yes,34,22.65,Run Sarura Run!,Silva,sam is gone,general_lyric_history,c05a0123ac3d
6Lu3IxkROxc,2026-05-03T13:46:26Z,[Run Sarura Run!] Lainy - 'The -5th Year of' [EN/KO],https://www.youtube.com/watch?v=6Lu3IxkROxc,EN,66.7,yes,41,17.76,Run Sarura Run! | EN/KO,Lainy,The -5th Year of,summer_heat,55da1cf8ab59
a-WvUQ9n3eg,2026-05-03T08:11:02Z,[Derville Pen is dead!] 박봉남 - '첫 주말산행 일기' [KO],https://www.youtube.com/watch?v=a-WvUQ9n3eg,KR,62.8,yes,43,12.72,Derville Pen is dead!,박봉남,첫 주말산행 일기,rain_city | tender_comfort | idol_pop_hook,dead3cd69386
Pg6VDGltKd8,2026-05-02T11:58:36Z,[Derville Pen is dead!] 우나 - '삼계탕' [KO],https://www.youtube.com/watch?v=Pg6VDGltKd8,KR,60.0,yes,50,14.74,Derville Pen is dead!,우나,삼계탕,summer_heat | winter_christmas | rain_city | self_denial_rationalization | tender_comfort,2a5f9774bf14
9gKfErDyuyM,2026-05-02T05:16:52Z,"[Derville Pen is dead!] 월콧x타투 - '물냉이냐 비냉이냐, 그것이 문제로다' [KO]",https://www.youtube.com/watch?v=9gKfErDyuyM,KR,46.8,yes,34,34.26,Derville Pen is dead!,월콧 | 타투,"물냉이냐 비냉이냐, 그것이 문제로다",summer_heat | rain_city | self_denial_rationalization | cute_comedy | heroic_fantasy,72df0ba5abbd
CdrQ_mPbMzE,2026-05-01T16:02:26Z,[Run Sarura Run!] 카샤스 - '어차피 일이 있으니까' [KO],https://www.youtube.com/watch?v=CdrQ_mPbMzE,KR,67.8,yes,58,14,Run Sarura Run!,카샤스,어차피 일이 있으니까,summer_heat | rain_city | run_dance_motion | self_denial_rationalization | cute_comedy,788906135f49
ixykIyuzWWw,2026-05-01T08:22:51Z,[Run Sarura Run!] Rye0ng - 'Art is Art' [EN],https://www.youtube.com/watch?v=ixykIyuzWWw,EN,0,no_or_needs_manual_review,2,24,Run Sarura Run!,Rye0ng,Art is Art,general_lyric_history,27b7e483a8a0
ShxA2hs7pIk,2026-05-01T03:17:53Z,[Derville Pen is dead!] 올레그 - '이런 저녁이면 돼' [KO],https://www.youtube.com/watch?v=ShxA2hs7pIk,KR,70.0,yes,66,8.85,Derville Pen is dead!,올레그,이런 저녁이면 돼,summer_heat | self_denial_rationalization | tender_comfort | dark_cool,7a7678bbb824
0ZtODQk1_yU,2026-04-30T21:13:47Z,[Run Sarura Run!] 네르 - '한여름 밤의 악몽' [KO],https://www.youtube.com/watch?v=0ZtODQk1_yU,KR,60.0,yes,35,21.09,Run Sarura Run!,네르,한여름 밤의 악몽,summer_heat | winter_christmas | rain_city | run_dance_motion | self_denial_rationalization,52e295b591b3
E57b7zywiAA,2026-04-30T19:47:14Z,[Derville Pen is dead!] 마르티나x박봉남 - '여름 감기는 개도 안 걸린다던데!' [KO],https://www.youtube.com/watch?v=E57b7zywiAA,KR,63.8,yes,48,19.12,Derville Pen is dead!,마르티나 | 박봉남,여름 감기는 개도 안 걸린다던데!,summer_heat | rain_city | self_denial_rationalization | cute_comedy | tender_comfort,2fb55675e47a
9cLOQVpVI_g,2026-04-29T18:47:49Z,[Derville Pen is dead!] 시스 타투 - '동중정 (動中靜 : Stillness in Motion)' [KO],https://www.youtube.com/watch?v=9cLOQVpVI_g,KR,62.7,yes,22,19.45,Derville Pen is dead!,시스 타투,동중정 (動中靜 : Stillness in Motion),heroic_fantasy | dark_cool,db5a7260029c
sVGIseqIMak,2026-04-29T11:41:00Z,[Derville Pen is dead!] 타라한 - '에어컨' [KO],https://www.youtube.com/watch?v=sVGIseqIMak,KR,63.5,yes,19,19.42,Derville Pen is dead!,타라한,에어컨,summer_heat | winter_christmas | rain_city | heroic_fantasy | tender_comfort,12a28cb74318
eJt13RBKHkQ,2026-04-28T14:45:37Z,[Run Sarura Run!] '연애소설의 끝이 보쌈이면 안되는걸까?' [KO],https://www.youtube.com/watch?v=eJt13RBKHkQ,KR,60.0,yes,50,14.62,Run Sarura Run!,,연애소설의 끝이 보쌈이면 안되는걸까?,summer_heat | winter_christmas | rain_city | self_denial_rationalization | heroic_fantasy,d50f23c46348
FuGK6izbH-E,2026-04-27T16:37:39Z,[Run Sarura Run!] 라이니 - '나의 작은 여름날들' [KO],https://www.youtube.com/watch?v=FuGK6izbH-E,KR,60.0,yes,46,10.67,Run Sarura Run!,라이니,나의 작은 여름날들,summer_heat | winter_christmas | rain_city | run_dance_motion | self_denial_rationalization,4a2444720d05
BcIAk2E5Aig,2026-04-27T14:14:00Z,[Run Sarura Run!] 세리카x체니 - '백조자리 익스프레스' [KO],https://www.youtube.com/watch?v=BcIAk2E5Aig,KR,60.6,yes,53,11.23,Run Sarura Run!,세리카 | 체니,백조자리 익스프레스,summer_heat | winter_christmas | rain_city | run_dance_motion | self_denial_rationalization,262d46aa5e14
JjfjsGWVnbs,2026-04-26T14:35:55Z,[Run Sarura Run!] 레베카 - '다락방의 미뉴엣' [KO],https://www.youtube.com/watch?v=JjfjsGWVnbs,KR,64.0,yes,45,10.11,Run Sarura Run!,레베카,다락방의 미뉴엣,summer_heat | winter_christmas | rain_city | run_dance_motion | heroic_fantasy,36566bf54863
l4uw3avx5Eo,2026-04-26T12:04:29Z,"[""이것은 망했습니다"" 시리즈] : [Derville P.I.D.] 박봉남 - '슈뢰딩거의 모기'",https://www.youtube.com/watch?v=l4uw3avx5Eo,KR,58.5,yes,34,21.71,"""이것은 망했습니다"" 시리즈 | Derville P.I.D.",: 박봉남,슈뢰딩거의 모기,rain_city | run_dance_motion | self_denial_rationalization | cute_comedy | heroic_fantasy,20eadbcdfa5e
e261TMfbXgM,2026-04-25T19:16:08Z,[Derville Pen is dead!] 마르티나 - 'Ignite the Flare' [KO],https://www.youtube.com/watch?v=e261TMfbXgM,KR,65.1,yes,65,16.45,Derville Pen is dead!,마르티나,Ignite the Flare,winter_christmas | rain_city | run_dance_motion | cute_comedy | heroic_fantasy,65dec7138fd7
tmPdjc8ShmE,2026-04-25T11:48:07Z,[Derville P.I.D.] 돌이 - '어흥이 잘 안 되는데...' #데르빌 #DervillePID #분수대사건 #피그말리온효과 #성기사단해명해 #개발퀄주의 #출렁출렁,https://www.youtube.com/watch?v=tmPdjc8ShmE,KR,50.0,yes,21,21.05,Derville P.I.D.,돌이,어흥이 잘 안 되는데...,self_denial_rationalization | heroic_fantasy,5da690f92fbb
ZLDa6RiT35I,2026-04-25T11:03:32Z,[Run Sarura Run!] 마리 - 'Shout in Shimmer! ' [KO],https://www.youtube.com/watch?v=ZLDa6RiT35I,KR,63.8,yes,24,18.17,Run Sarura Run!,마리,Shout in Shimmer! ,summer_heat | rain_city | run_dance_motion | self_denial_rationalization | dark_cool,675e3b59744e
KOrwK62RI_Y,2026-04-23T17:32:48Z,"[Derville Pen is dead!] 유진 - '뭐, 그런거지' [KO]",https://www.youtube.com/watch?v=KOrwK62RI_Y,KR,61.8,yes,34,12.88,Derville Pen is dead!,유진,"뭐, 그런거지",summer_heat | winter_christmas | rain_city | self_denial_rationalization | cute_comedy,070411afda9a
OM22rQrFv8M,2026-04-23T15:39:02Z,[데르빌의 일상] '오늘의 기사' 유진x박봉남 [KO] #데르빌의일상 #유진 #박봉남 #DervillePID #Shorts,https://www.youtube.com/watch?v=OM22rQrFv8M,KR,7.5,no_or_needs_manual_review,2,26,데르빌의 일상,유진 | 박봉남 #데르빌의일상 #유진 #박봉남 #DervillePID #Shorts,오늘의 기사,heroic_fantasy,108b03d0f306
7ta0CVloZzQ,2026-04-22T14:34:08Z,"열세 살의 엄마 - 우나 (from ""Derville P.I.D."")",https://www.youtube.com/watch?v=7ta0CVloZzQ,KR,56.0,yes,20,16.4,,열세 살의 엄마,Derville P.I.D.,summer_heat | winter_christmas | rain_city | self_denial_rationalization | heroic_fantasy,2d80e182d46f
ZXiqkwy_C0k,2026-04-22T11:59:29Z,[Run Sarura Run!] 샐리 - '한여름 밤에 강변에서 불꽃놀이를 바라보며 한손에 맥주캔을 들고와 벤치 옆자리에 앉는 여자도 조심하세요(한여름 밤에 강변에서) ' [KO],https://www.youtube.com/watch?v=ZXiqkwy_C0k,KR,63.1,yes,40,22.77,Run Sarura Run!,샐리,한여름 밤에 강변에서 불꽃놀이를 바라보며 한손에 맥주캔을 들고와 벤치 옆자리에 앉는 여자도 조심하세요(한여름 밤에 강변에서) ,summer_heat | winter_christmas | rain_city | self_denial_rationalization | cute_comedy,07cda65a17d9
